name,iso3,Name,Total received for P.1,Total received for P.2,Total received for P.3,Total received for P.4,Total received for P.5,Total received for P.6,Total received for P.7,Total received for D.1,Total received for D.2,Total received for D.3,Total received for D.4,Total received for R.1,Total received for R.2,Total received for R.3,Total received for R.4,Total received for R.5,Total received for RE,Total received for PoE,Total received for CE,Name,Total disbursed for P.1,Total disbursed for P.2,Total disbursed for P.3,Total disbursed for P.4,Total disbursed for P.5,Total disbursed for P.6,Total disbursed for P.7,Total disbursed for D.1,Total disbursed for D.2,Total disbursed for D.3,Total disbursed for D.4,Total disbursed for R.1,Total disbursed for R.2,Total disbursed for R.3,Total disbursed for R.4,Total disbursed for R.5,Total disbursed for RE,Total disbursed for PoE,Total disbursed for CE
Afghanistan,AFG,Afghanistan,102065045,,193611,26720947,33086014,,313305552,127753043,142689022,126696305,45894482,2337059,30153874,52303,6768581,69673,,2040364,,Afghanistan,102065045,,193611,26720947,33086014,,313305552,127753043,142689022,126696305,45894482,2337059,30153874,52303,6768581,69673,,2040364,
Albania,ALB,Albania,85545,,20104,4611935,1787474,,5527546,195875,90095,,3018933,19958,3986480,,19958,35794,,,,Albania,85545,,20104,4611935,1787474,,5527546,195875,90095,,3018933,19958,3986480,,19958,35794,,,
Algeria,DZA,Algeria,68933,,50210,14701043,10890,210,1199603,13555928,62491,14210,899570,11558783,94982,,,,,,,Algeria,68933,,50210,14701043,10890,210,1199603,13555928,62491,14210,899570,11558783,94982,,,,,,
American Samoa,ASM,American Samoa,877472,,2268,6883085,5579465,,40657,3838,1229342,669833,451176,1113333,365701,,,,,2523534,,American Samoa,877472,,2268,6883085,5579465,,40657,3838,1229342,669833,451176,1113333,365701,,,,,2523534,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Angola,91569527,,5397611,144268,,280881,72115559,109604819,208476637,199792695,24587336,1954926,31316619,,53743469,80618,,,,Angola,91569527,,5397611,144268,,280881,72115559,109604819,208476637,199792695,24587336,1954926,31316619,,53743469,80618,,,
Antigua and Barbuda,ATG,Antigua and Barbuda,24009,,3000,3000,,,4736,15110,10110,8398,23520,,,,,,,,,Antigua and Barbuda,24009,,3000,3000,,,4736,15110,10110,8398,23520,,,,,,,,
Argentina,ARG,Argentina,829136,,22359,1699872,123033,,13016637,1299612,2997237,586198,1467231,,150547876,,,,39102,,,Argentina,829136,,22359,1699872,123033,,13016637,1299612,2997237,586198,1467231,,150547876,,,,39102,,
Armenia,ARM,Armenia,16858024,,12334774,1404037,825155,,7787832,12132829,30273992,0,3661763,32824,653336,,11953927,17731,16575,,,Armenia,16858024,,12334774,1404037,825155,,7787832,12132829,30273992,0,3661763,32824,653336,,11953927,17731,16575,,
Aruba,ABW,Aruba,,,,,,,,142093,,,,,,,,,,,,Aruba,,,,,,,,142093,,,,,,,,,,,
