Name,ISO3,Total Response Received,Total Capacity Received,Total Disbursed Received,Total Response Disbursed,Total Capacity Disbursed,Total Disbursed
Afghanistan,AFG,808456464,1357011342,2165467807,15261849,0,15261849
Albania,ALB,95504177,47078137,142582314,,,
Algeria,DZA,155568089,33938014,189506104,,,
American Samoa,ASM,923498,16930030,17853529,,,
Andorra,AND,,,,20053,0,20053
Angola,AGO,235832373,765509578,1001341951,,,
Antigua and Barbuda,ATG,0,2356219,2356219,,,
Argentina,ARG,845967211,414738855,1260706066,,,
Armenia,ARM,31368472,111582185,142950656,,,
Aruba,ABW,63228280,142093,63370373,,,
Australia,AUS,0,1149455,1149455,257769281,2077085461,2334854742
Austria,AUT,,,,4616884,0,4616884
Azerbaijan,AZE,258758338,84988386,343746724,10000000,500000,10500000
Bahamas,BHS,20516176,4370225,24886401,,,
Bahrain,BHR,0,522147,522147,,,
Bangladesh,BGD,1083233634,4149318079,5232551713,,,
Barbados,BRB,11705667,28018506,39724173,,,
Belarus,BLR,107638684,85777807,193416490,,,
Belgium,BEL,0,19519645,19519645,44524820,196361353,240886173
Belize,BLZ,15022384,30926553,45948937,,,
Benin,BEN,87460141,961764590,1049224731,,,
Bhutan,BTN,36405747,43798358,80204105,,,
Bolivia,BOL,95431685,467725955,563157640,1000000,0,1000000
Bosnia and Herzegovina,BIH,94601849,51979125,146580974,,,
Botswana,BWA,15759516,389200642,404960158,,,
Brazil,BRA,14895544,1170193504,1185089049,5817902,0,5817902
British Indian Ocean Territory,IOT,,,,,,
British Virgin Islands,VGB,,,,,,
Brunei Darussalam,BRN,0,28819,28819,100000,0,100000
Bulgaria,BGR,2620,19947808,19950428,111982,0,111982
Burkina Faso,BFA,237276877,1606301502,1843578379,,,
Burundi,BDI,28072678,1230865010,1258937688,,,
Cabo Verde,CPV,47358756,27686180,75044936,,,
Cambodia,KHM,341752536,1002608728,1344361264,,,
Cameroon,CMR,257933591,1732557825,1990491416,695827,0,695827
Canada,CAN,7963,11156762,11164725,608293880,4422396989,5030690869
Cayman Islands,CYM,,,,,,
Central African Republic,CAF,139308570,467721729,607030299,2450000,0,2450000
Chad,TCD,213160623,732358252,945518874,2145554,0,2145554
Chile,CHL,1277368,12479165,13756533,300000,0,300000
China,CHN,12916426,1040077541,1052993968,192908121,14956653,207864774
Colombia,COL,239810812,704959483,944770295,100000,0,100000
Comoros,COM,36766785,97866435,134633220,1356625,0,1356625
Congo,COG,74944776,202489482,277434258,,,
Cook Islands,COK,99097331,23533153,122630485,,,
Costa Rica,CRI,4345064,21037771,25382836,,,
Cote d'Ivoire,CIV,382715059,2054126197,2436841257,439351,0,439351
Croatia,HRV,121,96703122,96703243,48000,0,48000
Cuba,CUB,19604634,80971788,100576422,,,
Curaçao,CUW,47393993,0,47393993,,,
Cyprus,CYP,759,0,759,116726,0,116726
Czech Republic,CZE,0,1106551,1106551,463228,0,463228
Democratic People's Republic of Korea,PRK,9124047,223379583,232503629,,,
Democratic Republic of the Congo,COD,1313776165,5807848463,7121624629,1285398,0,1285398
Denmark,DNK,11949,184260,196209,233892971,554786321,788679292
Djibouti,DJI,24134438,89967388,114101826,,,
Dominica,DMA,8340207,1211528,9551735,,,
Dominican Republic,DOM,88219531,565944582,654164113,,,
Ecuador,ECU,788237271,119212113,907449384,,,
Egypt,EGY,471586232,630822900,1102409133,356830,0,356830
El Salvador,SLV,101915217,256931938,358847155,,,
Equatorial Guinea,GNQ,1487560,30757875,32245435,1750767,0,1750767
Eritrea,ERI,4065451,233248743,237314193,,,
Estonia,EST,0,486233,486233,238425,0,238425
Eswatini,SWZ,19105835,646120396,665226231,,,
Ethiopia,ETH,940554744,6322889983,7263444727,0,514662,514662
Falkland Islands (Malvinas),FLK,,,,,,
Faroe Islands,FRO,,,,,,
Federated States of Micronesia,FSM,21160878,4243217,25404095,,,
Fiji,FJI,133622060,95543985,229166046,,,
Finland,FIN,,,,72714010,482739105,555453115
France,FRA,0,2257981,2257981,683278411,566169630,1249448041
French Polynesia,PYF,0,30599,30599,,,
French Southern and Antarctic Lands,ATF,,,,,,
Gabon,GAB,132813506,98030293,230843800,6827642,0,6827642
Gambia,GMB,42098780,219561982,261660762,,,
Georgia,GEO,162477394,157806538,320283931,25000,0,25000
Germany,DEU,0,541611,541611,2480434000,5907400805,8387834805
Ghana,GHA,442369856,1785177396,2227547253,,,
Greece,GRC,0,2183753,2183753,250313,0,250313
Grenada,GRD,4174987,4179688,8354675,,,
Guatemala,GTM,34991115,528910148,563901263,,,
Guernsey,GGY,,,,,,
Guinea,GIN,354304810,928960075,1283264885,1894462,0,1894462
