iso3,iso2,totalDisbursedReceived,totalDisbursed
ABW,AW,63370373,
AFG,AF,2165467807,15261849
AGO,AO,1001341951,
ALB,AL,142582314,
AND,AD,,20053
ARE,AE,346590,
ARG,AR,1260706066,
ARM,AM,142950656,
ASM,AS,17853529,
ATG,AG,2356219,
AUS,AU,1149455,2334854742
AUT,AT,,4616884
AZE,AZ,343746724,10500000
BDI,BI,1258937688,
BEL,BE,19519645,240886173
BEN,BJ,1049224731,
BFA,BF,1843578379,
BGD,BD,5232551713,
BGR,BG,19950428,111982
BHR,BH,522147,
BHS,BS,24886401,
BIH,BA,146580974,
BLR,BY,193416490,
BLZ,BZ,45948937,
BOL,BO,563157640,1000000
BRA,BR,1185089049,5817902
BRB,BB,39724173,
BRN,BN,28819,100000
BTN,BT,80204105,
BWA,BW,404960158,
CAF,CF,607030299,2450000
CAN,CA,11164725,5021702293
CHE,CH,334712538,807534294
CHL,CL,13756533,300000
CHN,CN,1052993968,207864774
CIV,CI,2436841257,439351
CMR,CM,1990491416,695827
COD,CD,7121624629,1285398
COG,CG,277434258,
COK,CK,122630485,
COL,CO,944770295,100000
COM,KM,134633220,1356625
CPV,CV,75044936,
CRI,CR,25382836,
CUB,CU,100576422,
CUW,CW,47393993,
CYP,CY,759,116726
CZE,CZ,1106551,463228
DEU,DE,541611,8385234730
DJI,DJ,114101826,
DMA,DM,9551735,
DNK,DK,196209,788679292
DOM,DO,654164113,
DZA,DZ,189506104,
ECU,EC,907449384,
EGY,EG,1102409133,356830
ERI,ER,237314193,
ESP,ES,1064042,330102455
EST,EE,486233,238425
ETH,ET,7263444727,514662
FIN,FI,,555122548
FJI,FJ,229166046,
FRA,FR,2257981,1249448041
FSM,FM,25404095,
GAB,GA,230705300,6827642
GBR,GB,232589912,11951765232
GEO,GE,320283931,25000
GHA,GH,2227547253,
GIN,GN,1283264885,1894462
GMB,GM,261660762,
GNB,GW,265536879,11831789
GNQ,GQ,32245435,1750767
GRC,GR,2183753,250313
GRD,GD,8354675,
GTM,GT,563901263,
GUY,GY,135030528,50363
HND,HN,628012947,
HRV,HR,96703243,48000
HTI,HT,1660813006,
HUN,HU,1058540,862578
IDN,ID,4958199061,1000000
IND,IN,9164915267,10500000
IRL,IE,77507,199141312
IRN,IR,255107889,51793834
IRQ,IQ,409676211,
ISL,IS,,204290
ISR,IL,21029062,8793267
ITA,IT,5766968,488761566
JAM,JM,275684028,
JOR,JO,915311770,
JPN,JP,335022,664301087
KAZ,KZ,1317476884,50000
KEN,KE,6824208777,
KGZ,KG,452055331,
KHM,KH,1344361264,
KIR,KI,48998446,
KNA,KN,447811,
KOR,KR,19453,396117835
KWT,KW,989740,90500000
LAO,LA,655394589,
LBN,LB,485418963,5562072
LBR,LR,1744978341,1073696
LBY,LY,113513593,480000
LCA,LC,64104948,
LIE,LI,,320513
LKA,LK,599877866,
LSO,LS,749029478,162912
LTU,LT,24173157,111765
LUX,LU,,4597837
LVA,LV,961857,48876
MAF,MF,78742,
MAR,MA,1212273073,
MCO,MC,,474813
MDA,MD,190746596,
MDG,MG,1219038845,3700000
MDV,MV,78457089,
MEX,MX,1477554016,1600000
MHL,MH,15803520,
MKD,MK,116831239,
MLI,ML,1926632480,1106717
MLT,MT,6800,122032
MMR,MM,2524951552,
MNE,ME,61658028,5000
MNG,MN,471688250,
MOZ,MZ,5724123949,
MRT,MR,277000737,933169
MUS,MU,607623988,20000
MWI,MW,3853422826,
MYS,MY,36106917,100000
NAM,NA,568236690,
NER,NE,1440086442,
NGA,NG,11962136186,
NIC,NI,646902899,
NIU,NU,18646046,
NLD,NL,36038269,4364022518
NOR,NO,27060,1391277063
NPL,NP,1916825922,
NRU,NR,18072399,
NZL,NZ,4873276,520576876
OMN,OM,3713972,
PAK,PK,7103134760,
PAN,PA,149129448,
PER,PE,247183573,48479
PHL,PH,4220824206,3500895
PLW,PW,38143025,
PNG,PG,1572433508,
POL,PL,1006212,146317
PRK,KP,232503629,
PRT,PT,,1087466
PRY,PY,150142128,
PSE,PS,650153769,
PYF,PF,30599,
QAT,QA,172043,1000000
ROU,RO,287812699,240000
RUS,RU,26734409,2486210
RWA,RW,2181727469,
SAH,EH,9701304,
SAU,SA,20209576,163000000
SDN,SD,1529624442,
SEN,SN,1289809237,
SGP,SG,26677,950000
SLB,SB,207399409,
SLE,SL,2360133417,
SLV,SV,358847155,
SMR,SM,78742,
SOM,SO,1743332121,
SRB,RS,153417864,2303753
SSD,SS,2652335514,
STP,ST,57687108,3329579
SUR,SR,27782380,
SVK,SK,935879,6415399
SVN,SI,840324,709339
SWE,SE,2140122,2886378789
SWZ,SZ,665226231,
SXM,SX,7354505,
SYC,SC,16832782,
SYR,SY,563069818,
TCD,TD,945518874,2145554
TGO,TG,696909293,1581
THA,TH,1814178535,302905
TJK,TJ,453105697,
TKM,TM,51798285,
TLS,TL,232560576,
TON,TO,74032115,
TTO,TT,40350568,
TUN,TN,259948092,
TUR,TR,977877426,3000000
TUV,TV,15137190,
TWN,TW,6612,
TZA,TZ,6590709024,
UGA,UG,6377678308,
UKR,UA,1173128778,
URY,UY,30029685,
USA,US,35320351,75168764291
UZB,UZ,1235343875,
VAT,VA,,131720
VCT,VC,14141044,
VEN,VE,83327885,5000000
VNM,VN,1770468051,
VUT,VU,102616487,
WLF,WF,597198,
WSM,WS,87874330,
XKX,XK,154662845,
YEM,YE,2219688775,20000000
ZAF,ZA,5799199491,325725
ZMB,ZM,4280860565,
ZWE,ZW,3930996997,
