Funder,Recipient,Total value
Zoological Society of London,Mozambique,73258
Zoological Society of London,Philippines,32297
ZOA,Liberia,1026944
ZOA,South Sudan,261855
YWCA of Bangladesh,Bangladesh,467059
Young Africa International HUB,Mozambique,391051
Young Africa International HUB,Zimbabwe,391051
Yemen,World Health Organization (WHO),20000000
Y Care International,Bangladesh,508688
Y Care International,Liberia,544447
Yamaan Foundation for Health and Social Development,Yemen,2502875
Worldwide Hospice Palliative Care Alliance,Bangladesh,386981
World Vision International,Afghanistan,35706
World Vision International,Bangladesh,93184
World Vision International,Democratic Republic of the Congo,1418005
World Vision International,Ethiopia,180733
World Vision International,India,409783
World Vision International,Iraq,112893
World Vision International,Mali,233092
World Vision International,Somalia,29368653
World Vision International,South Sudan,754432
World Vision International,Sudan,1150862
World Vision International,Syrian Arab Republic,1181215
World Vision International,Uganda,339099
World Jewish Relief,Indonesia,66673
World Jewish Relief,Mozambique,57685
World Jewish Relief,Rwanda,88646
World Health Organization (WHO),Afghanistan,97560057
World Health Organization (WHO),Africa,5994986
World Health Organization (WHO),Albania,1649164
World Health Organization (WHO),Algeria,2278863
World Health Organization (WHO),America,345000
World Health Organization (WHO),American Samoa,58297
World Health Organization (WHO),Angola,29546747
World Health Organization (WHO),Antigua and Barbuda,214420
World Health Organization (WHO),Argentina,4553494
World Health Organization (WHO),Armenia,2248861
World Health Organization (WHO),Azerbaijan,3452726
World Health Organization (WHO),Bahamas,1980045
World Health Organization (WHO),Bahrain,522147
World Health Organization (WHO),Bangladesh,33901885
World Health Organization (WHO),Barbados,199823
World Health Organization (WHO),Belarus,2278972
World Health Organization (WHO),Belize,1749876
World Health Organization (WHO),Benin,10315903
World Health Organization (WHO),Bhutan,4927856
World Health Organization (WHO),Bolivia,7643308
World Health Organization (WHO),Bosnia and Herzegovina,2442286
World Health Organization (WHO),Botswana,4409601
World Health Organization (WHO),Brazil,13272560
World Health Organization (WHO),Brunei Darussalam,28819
World Health Organization (WHO),Bulgaria,930702
World Health Organization (WHO),Burkina Faso,18324557
World Health Organization (WHO),Burundi,8642565
World Health Organization (WHO),Cabo Verde,2356923
World Health Organization (WHO),Cambodia,16867532
World Health Organization (WHO),Cameroon,26430794
World Health Organization (WHO),Canada,24838
World Health Organization (WHO),Central African Republic,15727893
World Health Organization (WHO),Chad,28342422
World Health Organization (WHO),Chile,2584339
World Health Organization (WHO),China,14348695
World Health Organization (WHO),Clinton Health Access Initiative,23420260
World Health Organization (WHO),Colombia,6798892
World Health Organization (WHO),Comoros,2891645
World Health Organization (WHO),Congo,8766151
World Health Organization (WHO),Cook Islands,325146
World Health Organization (WHO),Costa Rica,3226207
World Health Organization (WHO),Cote d'Ivoire,14161014
World Health Organization (WHO),Croatia,573245
World Health Organization (WHO),Cuba,2724144
World Health Organization (WHO),Czech Republic,1106551
World Health Organization (WHO),Democratic People's Republic of Korea,5562820
World Health Organization (WHO),Democratic Republic of the Congo,173876555
World Health Organization (WHO),Djibouti,4830284
World Health Organization (WHO),Dominica,448889
World Health Organization (WHO),Dominican Republic,5748313
World Health Organization (WHO),Ecuador,6106038
World Health Organization (WHO),Egypt,6332109
World Health Organization (WHO),El Salvador,3375949
World Health Organization (WHO),Equatorial Guinea,4108822
World Health Organization (WHO),Eritrea,3382661
World Health Organization (WHO),Estonia,481363
World Health Organization (WHO),Eswatini,3651085
World Health Organization (WHO),Ethiopia,67176709
World Health Organization (WHO),Europe,1760000
