risk_index,iso3,year,rank,overall_score_normed,meaning
idvi,NOR,2016,1,1,least vulnerable
idvi,CAN,2016,2,0.9734,
idvi,FIN,2016,3,0.968274,
idvi,DEU,2016,4,0.96689,
idvi,SWE,2016,5,0.955625,
idvi,DNK,2016,6,0.953641,
idvi,JPN,2016,7,0.92641,
idvi,USA,2016,8,0.924939,
idvi,NLD,2016,9,0.918935,
idvi,NZL,2016,10,0.916279,
idvi,CHE,2016,11,0.915839,
idvi,AUS,2016,12,0.912517,
idvi,ISL,2016,13,0.908112,
idvi,IRL,2016,14,0.90632,
idvi,GBR,2016,15,0.897495,
idvi,PRT,2016,16,0.888782,
idvi,KOR,2016,17,0.879402,
idvi,SGP,2016,18,0.878289,
idvi,LUX,2016,19,0.875694,
idvi,ESP,2016,20,0.875475,
idvi,AUT,2016,21,0.874243,
idvi,BEL,2016,22,0.870933,
idvi,FRA,2016,23,0.855407,
idvi,CZE,2016,24,0.847175,
idvi,ITA,2016,25,0.82169,
idvi,SVK,2016,26,0.808457,
idvi,SVN,2016,27,0.80579,
idvi,CHL,2016,28,0.801129,
idvi,EST,2016,29,0.797443,
idvi,HUN,2016,30,0.795623,
idvi,QAT,2016,31,0.787534,
idvi,POL,2016,32,0.782799,
idvi,ISR,2016,33,0.782439,
idvi,LTU,2016,34,0.771597,
idvi,ARE,2016,35,0.7652,
idvi,LVA,2016,36,0.763937,
idvi,BRN,2016,37,0.762886,
idvi,MYS,2016,38,0.761135,
idvi,MCO,2016,39,0.753737,
idvi,URY,2016,40,0.745957,
idvi,LIE,2016,41,0.737219,
idvi,CRI,2016,42,0.73696,
idvi,SAU,2016,43,0.736844,
idvi,GEO,2016,44,0.735821,
idvi,MEX,2016,45,0.734971,
idvi,GRC,2016,46,0.734145,
idvi,HRV,2016,47,0.719996,
idvi,BRA,2016,48,0.716641,
idvi,THA,2016,49,0.711334,
idvi,TWN,2016,50,0.709691,
idvi,JOR,2016,51,0.707361,
idvi,ARG,2016,52,0.707041,
idvi,ARM,2016,53,0.706912,
idvi,MLT,2016,54,0.706869,
idvi,ZAF,2016,55,0.697292,
idvi,CUB,2016,56,0.69591,
idvi,ATG,2016,57,0.693938,
idvi,KNA,2016,58,0.691572,
idvi,SMR,2016,59,0.687314,
idvi,MKD,2016,60,0.68599,
idvi,BRB,2016,61,0.681515,
idvi,TUR,2016,62,0.677438,
idvi,BGR,2016,63,0.66612,
idvi,CYP,2016,64,0.66563,
idvi,KWT,2016,65,0.664856,
idvi,BHR,2016,66,0.663702,
idvi,CHN,2016,67,0.663535,
idvi,PLW,2016,68,0.65801,
idvi,ROU,2016,69,0.657694,
idvi,BHS,2016,70,0.653653,
idvi,PER,2016,71,0.64567,
idvi,RUS,2016,72,0.639878,
idvi,MDA,2016,73,0.635987,
idvi,MUS,2016,74,0.635763,
idvi,OMN,2016,75,0.633743,
idvi,TON,2016,76,0.630046,
idvi,SYC,2016,77,0.628108,
idvi,ALB,2016,78,0.626259,
idvi,MNG,2016,79,0.626185,
idvi,VNM,2016,80,0.626124,
idvi,AND,2016,81,0.625221,
idvi,UKR,2016,82,0.617343,
idvi,BLR,2016,83,0.616419,
idvi,MNE,2016,84,0.612065,
idvi,TUV,2016,85,0.608741,
idvi,SLV,2016,86,0.607731,
idvi,KAZ,2016,87,0.607098,
idvi,PAN,2016,88,0.606521,
idvi,DMA,2016,89,0.60417,
idvi,XKX,2016,90,0.599085,
idvi,GRD,2016,91,0.597669,
idvi,TTO,2016,92,0.594998,
idvi,COL,2016,93,0.58385,
idvi,WSM,2016,94,0.580679,
idvi,MDV,2016,95,0.576299,
idvi,ECU,2016,96,0.575843,
idvi,LKA,2016,97,0.571001,
idvi,MAR,2016,98,0.569769,
idvi,SRB,2016,99,0.568934,
idvi,IRN,2016,100,0.567841,
idvi,FJI,2016,101,0.567238,
idvi,IDN,2016,102,0.562944,
idvi,KGZ,2016,103,0.555486,
idvi,SUR,2016,104,0.55532,
idvi,GUY,2016,105,0.554987,
idvi,BLZ,2016,106,0.551546,
idvi,AZE,2016,107,0.550328,
idvi,VCT,2016,108,0.549145,
idvi,BWA,2016,109,0.548363,
idvi,LBN,2016,110,0.546332,
idvi,PHL,2016,111,0.544923,
idvi,MHL,2016,112,0.544611,
idvi,PRY,2016,113,0.541167,
idvi,TUN,2016,114,0.535451,
idvi,VEN,2016,115,0.530692,
idvi,EGY,2016,116,0.530405,
idvi,BIH,2016,117,0.523079,
idvi,LCA,2016,118,0.516511,
idvi,UZB,2016,119,0.515492,
idvi,TJK,2016,120,0.507026,
idvi,BOL,2016,121,0.500436,
idvi,JAM,2016,122,0.499783,
idvi,DOM,2016,123,0.499533,
idvi,DZA,2016,124,0.496612,
idvi,IND,2016,125,0.493799,
idvi,LBY,2016,126,0.493272,
idvi,NIC,2016,127,0.492491,
idvi,VUT,2016,128,0.490878,
idvi,NAM,2016,129,0.490478,
idvi,TKM,2016,130,0.486696,
idvi,CPV,2016,131,0.486189,
idvi,GTM,2016,132,0.477179,
idvi,GHA,2016,133,0.462565,
idvi,BTN,2016,134,0.46088,
idvi,PSE,2016,135,0.450415,
idvi,MMR,2016,136,0.448176,
idvi,IRQ,2016,137,0.432182,
idvi,GNQ,2016,138,0.430054,
idvi,FSM,2016,139,0.425305,
idvi,BGD,2016,140,0.422107,
idvi,ZMB,2016,141,0.420459,
idvi,HND,2016,142,0.407296,
idvi,NPL,2016,143,0.404405,
idvi,GAB,2016,144,0.40295,
idvi,SYR,2016,145,0.391337,
idvi,CMR,2016,146,0.38877,
idvi,KIR,2016,147,0.388403,
idvi,KEN,2016,148,0.385436,
idvi,ETH,2016,149,0.382021,
idvi,PRK,2016,150,0.37487,
