risk_index,iso3,year,world_risk_index,rank,meaning
wri,PHL,2022,46.82,1,Very High
wri,IND,2022,42.31,2,Very High
wri,IDN,2022,41.46,3,Very High
wri,COL,2022,38.37,4,Very High
wri,MEX,2022,37.55,5,Very High
wri,MMR,2022,35.49,6,Very High
wri,MOZ,2022,34.37,7,Very High
wri,CHN,2022,28.7,8,Very High
wri,BGD,2022,27.9,9,Very High
wri,PAK,2022,26.75,10,Very High
wri,RUS,2022,26.54,11,Very High
wri,VNM,2022,25.85,12,Very High
wri,PER,2022,25.41,13,Very High
wri,SOM,2022,25.07,14,Very High
wri,YEM,2022,24.26,15,Very High
wri,PNG,2022,24.1,16,Very High
wri,MDG,2022,23.48,17,Very High
wri,USA,2022,22.73,18,Very High
wri,VEN,2022,22.45,19,Very High
wri,ECU,2022,22.42,20,Very High
wri,NIC,2022,22.35,21,Very High
wri,AUS,2022,21.36,22,Very High
wri,THA,2022,20.91,23,Very High
wri,EGY,2022,20.65,24,Very High
wri,CAN,2022,18.99,25,Very High
wri,IRN,2022,18.48,26,Very High
wri,PAN,2022,18.38,27,Very High
wri,JPN,2022,17.03,28,Very High
wri,TZA,2022,16.38,29,Very High
wri,TUR,2022,16.23,30,Very High
wri,HND,2022,16,31,Very High
wri,ARG,2022,15.61,32,Very High
wri,SLB,2022,14.62,33,Very High
wri,SLV,2022,14.37,34,Very High
wri,MYS,2022,14.36,35,Very High
wri,LBY,2022,14.31,36,Very High
wri,CRI,2022,14.2,37,Very High
wri,KEN,2022,13.92,38,Very High
wri,CHL,2022,13.84,39,Very High
wri,DOM,2022,13.23,40,Very High
wri,NZL,2022,13.05,41,Very High
wri,SYR,2022,12.16,42,High
wri,BRA,2022,12.15,43,High
wri,PRK,2022,11.82,44,High
wri,GTM,2022,11.18,45,High
wri,CMR,2022,11.17,46,High
wri,AGO,2022,11.02,47,High
wri,DJI,2022,10.66,48,High
wri,VUT,2022,10.64,49,High
wri,KOR,2022,10.51,50,High
wri,MAR,2022,10.29,51,High
wri,SDN,2022,10.12,52,High
wri,HTI,2022,9.99,53,High
wri,TUN,2022,9.87,54,High
wri,ESP,2022,9.68,55,High
wri,COD,2022,9.65,56,High
wri,SAU,2022,9.64,57,High
wri,DZA,2022,9.58,58,High
wri,ZAF,2022,9.42,59,High
wri,ITA,2022,9.37,60,High
wri,MRT,2022,9.34,61,High
wri,NGA,2022,9.12,62,High
wri,IRQ,2022,8.65,63,High
wri,GRC,2022,8.55,64,High
wri,KHM,2022,8.42,65,High
wri,CUB,2022,7.97,66,High
wri,TLS,2022,7.97,66,High
wri,ERI,2022,7.7,68,High
wri,BLZ,2022,7.65,69,High
wri,OMN,2022,7.27,70,High
wri,GIN,2022,6.84,71,High
wri,FRA,2022,6.67,72,High
wri,GUY,2022,6.64,73,High
wri,FJI,2022,6.54,74,High
wri,ARE,2022,6.52,75,High
wri,LKA,2022,5.93,76,High
wri,NAM,2022,5.93,76,High
wri,GBR,2022,5.78,78,Medium
wri,SEN,2022,5.42,79,Medium
wri,PRT,2022,5.08,80,Medium
wri,SLE,2022,5,81,Medium
wri,ALB,2022,4.98,82,Medium
wri,URY,2022,4.92,83,Medium
wri,SUR,2022,4.87,84,Medium
wri,HRV,2022,4.86,85,Medium
wri,COG,2022,4.85,86,Medium
wri,ETH,2022,4.8,87,Medium
wri,GAB,2022,4.72,88,Medium
wri,ISR,2022,4.65,89,Medium
wri,JAM,2022,4.65,89,Medium
wri,POL,2022,4.63,91,Medium
wri,GMB,2022,4.45,92,Medium
wri,FSM,2022,4.36,93,Medium
wri,SSD,2022,4.21,94,Medium
wri,BEL,2022,4.16,95,Medium
wri,GNB,2022,4.14,96,Medium
wri,LBR,2022,4.11,97,Medium
